Date,Mean Temperature,PM10,SO2
24/03/2020,"12,5","35,71","6,66"
25/03/2020,"7,5","23,64","8,33"
26/03/2020,11,"27,37","6,23"
27/03/2020,"14,5","33,49","6,91"
28/03/2020,17,"31,94","5,88"
29/03/2020,"9,5","20,23","6,53"
30/03/2020,7,"8,71","6,6"
31/03/2020,"10,5","26,05","6,86"
01/04/2020,"10,5","30,68","7,55"
02/04/2020,7,"26,57","7,54"
03/04/2020,13,"18,46","7,49"
04/04/2020,11,"13,04","6,3"
05/04/2020,"13,5","21,01","7,41"
06/04/2020,9,"20,57","6,13"
07/04/2020,7,"13,8","6,65"
08/04/2020,12,27,"6,37"
09/04/2020,8,"29,37","6,23"
10/04/2020,"7,5","18,28","6,06"
11/04/2020,"8,5","24,26","5,78"
12/04/2020,6,"29,84","7,58"
13/04/2020,9,"26,1","8,82"
14/04/2020,"14,5","22,08","7,76"
15/04/2020,"16,5","26,51","6,77"
16/04/2020,10,"19,73","7,33"
17/04/2020,12,"19,43","7,34"
18/04/2020,16,"22,51","6,62"
19/04/2020,15,"24,54",6
20/04/2020,17,"18,94","5,56"
21/04/2020,"9,5","18,21","6,64"
22/04/2020,"5,5","11,82","7,36"
23/04/2020,"5,5","9,72","8,03"
24/04/2020,8,"20,24","8,2"
25/04/2020,10,"24,38","8,69"
26/04/2020,12,"16,76","7,2"
27/04/2020,13,"17,86","7,55"
28/04/2020,"10,5","20,55","6,79"
29/04/2020,14,"23,2","6,33"
30/04/2020,"17,5","28,36","5,12"
01/05/2020,"18,5","21,64","4,85"
02/05/2020,"14,5","23,18","5,19"
03/05/2020,"17,5","17,68","4,76"
04/05/2020,15,"12,78","4,83"
05/05/2020,"17,5","20,88","4,66"
06/05/2020,"11,5","6,2","5,07"
07/05/2020,"15,5","15,75","4,63"
08/05/2020,"11,5","13,79","4,97"
09/05/2020,"9,5","12,14","5,86"
10/05/2020,"9,5","14,94","6,67"
11/05/2020,"12,5","23,06","6,26"
12/05/2020,"17,5","27,08","4,8"
13/05/2020,19,"35,77","4,58"
14/05/2020,18,"36,74","4,47"
15/05/2020,"20,5","32,82","4,11"
16/05/2020,23,"52,43","3,58"
17/05/2020,"18,5","42,49","3,81"
18/05/2020,19,"36,37","4,01"
19/05/2020,17,"27,71","4,29"
20/05/2020,"20,5","22,54","4,19"
21/05/2020,25,"44,31","4,5"
22/05/2020,"21,5","43,51","3,98"
23/05/2020,"10,5","8,23","5,34"
24/05/2020,"8,5","12,14","5,87"
25/05/2020,8,"9,42","6,18"
26/05/2020,16,"13,45","5,4"
27/05/2020,21,"22,17","4,62"
28/05/2020,24,"30,75","4,78"
29/05/2020,14,"14,02","4,85"
30/05/2020,"16,5","15,44","4,56"
31/05/2020,"17,5",23,"4,58"
01/06/2020,20,"25,62","3,89"
02/06/2020,19,"27,55","3,93"
03/06/2020,"17,5","20,86","4,07"
04/06/2020,21,"15,75","4,01"
05/06/2020,"18,5","15,17","3,95"
06/06/2020,"21,5","18,01","3,94"
07/06/2020,"26,5","19,27","4,56"
08/06/2020,"28,5","29,67","5,09"
09/06/2020,"24,5","30,88","5,02"
10/06/2020,"28,5","25,46","4,83"
11/06/2020,"28,5","32,23",
12/06/2020,"20,5","26,07",
13/06/2020,"21,5","25,76","4,5"
14/06/2020,23,"22,85","4,57"
15/06/2020,23,"20,54","4,33"
16/06/2020,25,"23,02","4,66"
17/06/2020,"22,5","23,22","4,09"
18/06/2020,23,"21,6","4,53"
19/06/2020,21,"15,75","4,28"
20/06/2020,"20,5","11,62","3,8"
21/06/2020,"19,5","20,69","4,26"
22/06/2020,"22,5","20,22","4,14"
23/06/2020,27,"25,39","4,37"
24/06/2020,"23,5","27,43","4,21"
25/06/2020,"20,5","18,67","4,89"
26/06/2020,"20,5","22,57","4,44"
27/06/2020,"20,5","12,88","4,89"
28/06/2020,"21,5","16,63","4,4"
29/06/2020,"20,5","20,46","4,23"
30/06/2020,22,"20,08","4,82"
01/07/2020,21,19,5
02/07/2020,22,"20,63","4,3"
03/07/2020,26,"28,09","4,92"
04/07/2020,"28,5",,
05/07/2020,25,"21,47","4,2"
06/07/2020,"25,5","27,47","4,17"
07/07/2020,"30,5","32,85","4,08"
08/07/2020,"24,5","16,16","4,17"
09/07/2020,"19,5","13,81","3,31"
10/07/2020,21,"16,07","3,69"
11/07/2020,22,"13,58","4,41"
12/07/2020,23,"14,75","4,4"
13/07/2020,"21,5","12,62","4,68"
14/07/2020,21,"17,86","4,51"
15/07/2020,"22,5","19,88","4,61"
16/07/2020,23,"18,07","4,67"
17/07/2020,"22,5","14,7","5,32"
18/07/2020,"23,5","17,25","4,71"
19/07/2020,"24,5","18,18","4,61"
20/07/2020,"27,5","24,82","4,79"
21/07/2020,"22,5","10,08","4,98"
22/07/2020,"21,5","13,21","4,23"
23/07/2020,21,"15,76","4,26"
24/07/2020,22,"16,37","4,47"
25/07/2020,"23,5","15,45","4,33"
26/07/2020,"22,5","17,47","4,35"
27/07/2020,"25,5","23,21","4,57"
28/07/2020,24,"19,9","4,82"
29/07/2020,"22,5","13,23","4,37"
30/07/2020,"22,5","19,9","4,23"
31/07/2020,"23,5","16,55","4,21"
01/08/2020,"22,5","12,82","4,32"
02/08/2020,22,"10,51","4,45"
03/08/2020,"20,5","12,67","4,45"
04/08/2020,20,"14,8","4,5"
05/08/2020,"21,5","15,85","4,34"
06/08/2020,22,"16,45","4,18"
07/08/2020,24,"17,04","4,19"
08/08/2020,"25,5","20,88","3,8"
09/08/2020,25,"20,44","4,45"
10/08/2020,"24,5","16,51","4,74"
11/08/2020,21,"13,66","4,52"
