Date,Mean Temperature,PM10,SO2
2020-03-24,12.5,35.71,6.66
2020-03-25,7.5,23.64,8.33
2020-03-26,11.0,27.37,6.23
2020-03-27,14.5,33.49,6.91
2020-03-28,17.0,31.94,5.88
2020-03-29,9.5,20.23,6.53
2020-03-30,7.0,8.71,6.6
2020-03-31,10.5,26.05,6.86
2020-04-01,10.5,30.68,7.55
2020-04-02,7.0,26.57,7.54
2020-04-03,13.0,18.46,7.49
2020-04-04,11.0,13.04,6.3
2020-04-05,13.5,21.01,7.41
2020-04-06,9.0,20.57,6.13
2020-04-07,7.0,13.8,6.65
2020-04-08,12.0,27.0,6.37
2020-04-09,8.0,29.37,6.23
2020-04-10,7.5,18.28,6.06
2020-04-11,8.5,24.26,5.78
2020-04-12,6.0,29.84,7.58
2020-04-13,9.0,26.1,8.82
2020-04-14,14.5,22.08,7.76
2020-04-15,16.5,26.51,6.77
2020-04-16,10.0,19.73,7.33
2020-04-17,12.0,19.43,7.34
2020-04-18,16.0,22.51,6.62
2020-04-19,15.0,24.54,6.0
2020-04-20,17.0,18.94,5.56
2020-04-21,9.5,18.21,6.64
2020-04-22,5.5,11.82,7.36
2020-04-23,5.5,9.72,8.03
2020-04-24,8.0,20.24,8.2
2020-04-25,10.0,24.38,8.69
2020-04-26,12.0,16.76,7.2
2020-04-27,13.0,17.86,7.55
2020-04-28,10.5,20.55,6.79
2020-04-29,14.0,23.2,6.33
2020-04-30,17.5,28.36,5.12
2020-05-01,18.5,21.64,4.85
2020-05-02,14.5,23.18,5.19
2020-05-03,17.5,17.68,4.76
2020-05-04,15.0,12.78,4.83
2020-05-05,17.5,20.88,4.66
2020-05-06,11.5,6.2,5.07
2020-05-07,15.5,15.75,4.63
2020-05-08,11.5,13.79,4.97
2020-05-09,9.5,12.14,5.86
2020-05-10,9.5,14.94,6.67
2020-05-11,12.5,23.06,6.26
2020-05-12,17.5,27.08,4.8
2020-05-13,19.0,35.77,4.58
2020-05-14,18.0,36.74,4.47
2020-05-15,20.5,32.82,4.11
2020-05-16,23.0,52.43,3.58
2020-05-17,18.5,42.49,3.81
2020-05-18,19.0,36.37,4.01
2020-05-19,17.0,27.71,4.29
2020-05-20,20.5,22.54,4.19
2020-05-21,25.0,44.31,4.5
2020-05-22,21.5,43.51,3.98
2020-05-23,10.5,8.23,5.34
2020-05-24,8.5,12.14,5.87
2020-05-25,8.0,9.42,6.18
2020-05-26,16.0,13.45,5.4
2020-05-27,21.0,22.17,4.62
2020-05-28,24.0,30.75,4.78
2020-05-29,14.0,14.02,4.85
2020-05-30,16.5,15.44,4.56
2020-05-31,17.5,23.0,4.58
2020-06-01,20.0,25.62,3.89
2020-06-02,19.0,27.55,3.93
2020-06-03,17.5,20.86,4.07
2020-06-04,21.0,15.75,4.01
2020-06-05,18.5,15.17,3.95
2020-06-06,21.5,18.01,3.94
2020-06-07,26.5,19.27,4.56
2020-06-08,28.5,29.67,5.09
2020-06-09,24.5,30.88,5.02
2020-06-10,28.5,25.46,4.83
2020-06-11,28.5,32.23,4.72
2020-06-12,20.5,26.07,4.61
2020-06-13,21.5,25.76,4.5
2020-06-14,23.0,22.85,4.57
2020-06-15,23.0,20.54,4.33
2020-06-16,25.0,23.02,4.66
2020-06-17,22.5,23.22,4.09
2020-06-18,23.0,21.6,4.53
2020-06-19,21.0,15.75,4.28
2020-06-20,20.5,11.62,3.8
2020-06-21,19.5,20.69,4.26
2020-06-22,22.5,20.22,4.14
2020-06-23,27.0,25.39,4.37
2020-06-24,23.5,27.43,4.21
2020-06-25,20.5,18.67,4.89
2020-06-26,20.5,22.57,4.44
2020-06-27,20.5,12.88,4.89
2020-06-28,21.5,16.63,4.4
2020-06-29,20.5,20.46,4.23
2020-06-30,22.0,20.08,4.82
2020-07-01,21.0,19.0,5.0
2020-07-02,22.0,20.63,4.3
2020-07-03,26.0,28.09,4.92
2020-07-04,28.5,24.78,4.5600000000000005
2020-07-05,25.0,21.47,4.2
2020-07-06,25.5,27.47,4.17
2020-07-07,30.5,32.85,4.08
2020-07-08,24.5,16.16,4.17
2020-07-09,19.5,13.81,3.31
2020-07-10,21.0,16.07,3.69
2020-07-11,22.0,13.58,4.41
2020-07-12,23.0,14.75,4.4
2020-07-13,21.5,12.62,4.68
2020-07-14,21.0,17.86,4.51
2020-07-15,22.5,19.88,4.61
2020-07-16,23.0,18.07,4.67
2020-07-17,22.5,14.7,5.32
2020-07-18,23.5,17.25,4.71
2020-07-19,24.5,18.18,4.61
2020-07-20,27.5,24.82,4.79
2020-07-21,22.5,10.08,4.98
2020-07-22,21.5,13.21,4.23
2020-07-23,21.0,15.76,4.26
2020-07-24,22.0,16.37,4.47
2020-07-25,23.5,15.45,4.33
2020-07-26,22.5,17.47,4.35
2020-07-27,25.5,23.21,4.57
2020-07-28,24.0,19.9,4.82
2020-07-29,22.5,13.23,4.37
2020-07-30,22.5,19.9,4.23
2020-07-31,23.5,16.55,4.21
2020-08-01,22.5,12.82,4.32
2020-08-02,22.0,10.51,4.45
2020-08-03,20.5,12.67,4.45
2020-08-04,20.0,14.8,4.5
2020-08-05,21.5,15.85,4.34
2020-08-06,22.0,16.45,4.18
2020-08-07,24.0,17.04,4.19
2020-08-08,25.5,20.88,3.8
2020-08-09,25.0,20.44,4.45
2020-08-10,24.5,16.51,4.74
2020-08-11,21.0,13.66,4.52
2020-08-12,21.5,16.84,4.42
2020-08-13,22.0,16.54,4.17
2020-08-14,20.5,18.01,4.49
2020-08-15,19.0,13.21,4.38
2020-08-16,18.5,14.395,4.23
2020-08-17,20.5,15.58,4.2
2020-08-18,21.5,17.08,3.85
2020-08-19,22.5,18.54,3.83
2020-08-20,24.5,18.2,4.72
2020-08-21,22.0,13.66,4.06
2020-08-22,20.0,10.43,3.87
2020-08-23,17.0,14.06,4.24
2020-08-24,20.5,21.42,4.18
2020-08-25,25.0,18.46,4.97
2020-08-26,23.0,18.73,3.85
2020-08-27,20.5,19.71,3.75
2020-08-28,21.0,17.96,3.89
2020-08-29,21.5,20.46,3.77
2020-08-30,25.5,20.86,4.62
2020-08-31,25.0,22.97,4.06
2020-09-01,27.0,26.37,4.06
2020-09-02,27.0,31.43,4.35
2020-09-03,28.5,26.18,4.11
2020-09-04,29.5,25.67,4.4
2020-09-05,23.5,25.94,3.9
2020-09-06,23.0,9.79,4.41
2020-09-07,22.5,14.14,4.17
2020-09-08,22.5,16.38,3.51
2020-09-09,21.0,16.41,3.07
2020-09-10,21.5,14.8,3.27
2020-09-11,23.0,16.71,3.33
2020-09-12,25.5,19.5,3.29
2020-09-13,26.0,24.25,3.63
2020-09-14,23.5,20.65,3.71
2020-09-15,24.5,20.91,3.47
2020-09-16,22.5,22.97,3.36
2020-09-17,25.0,25.33,4.59
2020-09-18,23.0,22.33,3.95
